year,name,age,sex,genotype,value,weights
2020,cancers,0,female,total,0,0.1
2020,cancers,15,female,total,6,0.1
2020,cancers,20,female,total,10,0.1
2020,cancers,25,female,total,77,0.1
2020,cancers,30,female,total,293,0.7
2020,cancers,35,female,total,508,1
2020,cancers,40,female,total,704,1
2020,cancers,45,female,total,793,1
2020,cancers,50,female,total,751,1
2020,cancers,55,female,total,689,0.7
2020,cancers,60,female,total,584,0.7
2020,cancers,65,female,total,438,0.7
2020,cancers,70,female,total,251,0.35
2020,cancers,75,female,total,101,0.2
2020,cancers,80,female,total,29,0.1
2020,cancers,85,female,total,0,0.1